AIRPORTCODE,CITYCODE
lhr,lon
man,man
lgw,lon
bcn,bcn
ams,ams
bkk,bkk
dub,dub
mad,mad
dme,mow
fco,rom
hkg,hkg
stn,lon
led,led
cdg,par
sin,sin
ist,ist
jfk,nyc
icn,sel
syd,syd
ath,ath
tpe,tpe
agp,agp
bhx,bhx
svo,mow
pmi,pmi
mxp,mil
nrt,tyo
lax,lax
lis,lis
prg,prg
edi,edi
muc,muc
fra,fra
mel,mel
dxb,dxb
vko,mow
alc,alc
kix,osa
dps,dps
dmk,bkk
cph,cph
zrh,zrh
kul,kul
saw,ist
ltn,lon
tlv,tlv
sip,sip
dus,dus
bud,bud
txl,ber
mnl,mnl
ayt,ayt
tfs,tci
hkt,hkt
mco,orl
gla,gla
bru,bru
waw,waw
per,per
vie,vie
arn,sto
aer,aer
del,del
gva,gva
yyz,yto
vce,vce
bne,bne
fao,fao
ory,par
akl,akl
gru,sao
hel,hel
bgy,mil
ibz,ibz
mia,mia
sfo,sfo
lca,lca
skg,skg
sxf,ber
las,las
cgk,jkt
ham,ham
otp,buh
ema,nqt
sgn,sgn
hnd,tyo
bom,bom
bon,bon
svx,svx
nap,nap
opo,opo
brs,brs
blq,blq
ncl,ncl
adb,izm
cia,rom
ord,chi
nce,nce
cta,cta
ace,ace
str,str
lba,lba
ovb,ovb
lpl,lpl
cun,cun
lpa,lpa
dlm,dlm
osl,osl
cgn,cgn
krr,krr
ewr,nyc
cmb,cmb
pek,bjs
mex,mex
pvg,sha
vlc,vlc
cai,cai
yvr,yvr
mla,mla
lin,mil
bos,bos
kbp,iev
her,her
cnx,cnx
gig,rio
bog,bog
han,han
krk,krk
jnb,jnb
svq,svq
hav,hav
bva,par
fll,mia
psa,psa
bio,bio
hnl,hnl
oka,oka
esb,ank
rak,rak
pmo,pmo
lim,lim
ein,ein
yul,ymq
rix,rix
wmi,waw
eze,bue
crl,bru
lcy,lon
scl,scl
trn,trn
fuk,fuk
fue,fue
pus,pus
sof,sof
vvo,vvo
pfo,pfo
jed,jed
kef,rek
jtr,jtr
cpt,cpt
lga,nyc
bsl,eap
mrs,mrs
abz,abz
lys,lys
mrv,mrv
vno,vno
atl,atl
ruh,ruh
rov,rov
bfs,bfs
bri,bri
flr,flr
ufa,ufa
maa,maa
usm,usm
got,got
ssh,ssh
rho,rho
kbv,kbv
aaq,aaq
cts,spk
gdn,gdn
beg,beg
haj,haj
iad,was
bjv,bjv
zag,zag
dfw,dfw
bey,bey
bhd,bfs
adl,adl
spu,spu
doh,doh
kgd,kgd
cok,cok
tbs,tbs
blr,blr
goi,goi
cfu,cfu
sea,sea
auh,auh
mah,mah
tll,tll
mle,mle
hyd,hyd
den,den
khh,khh
kuf,kuf
chc,chc
ngo,ngo
kzn,kzn
cmn,cas
gmp,sel
dbv,dbv
iah,hou
can,can
tsf,vce
isb,isb
evn,evn
kwi,kwi
kja,kja
yyc,yyc
chq,her
ork,ork
tls,tls
ceb,ceb
ktm,ktm
kiv,kiv
sjo,sjo
cns,cns
tiv,tiv
ada,ada
ool,ool
wro,wro
boj,boj
cek,cek
cag,cag
khv,khv
msq,msq
ikt,ikt
bod,bod
fnc,fnc
vrn,vrn
amm,amm
ika,thr
ccs,ccs
sju,sju
lhe,lhe
tpa,tpa
hhn,fra
tfn,tci
gyd,bak
rep,rep
tun,tun
los,los
tia,tia
nrn,dus
ssa,ssa
san,san
scq,scq
ecn,ecn
oms,oms
nbo,nbo
cju,cju
pnh,pnh
cwl,cwl
msp,msp
phl,phl
pee,pee
jmk,jmk
nue,nue
pik,gla
dmm,dmm
mjv,mjv
suf,suf
phx,phx
dtw,dtt
snn,snn
pen,pen
bsb,bsb
bgo,bgo
tjm,tjm
dad,dad
hrg,hrg
for,for
ktw,ktw
asr,asr
bll,bll
bwi,was
puj,puj
bah,bah
amd,amd
rec,rec
fru,fru
bre,bre
mru,mru
gdl,gdl
poa,poa
bds,bds
tzx,tzx
aho,aho
sgc,sgc
goa,goa
sen,lon
olb,olb
uio,uio
rgn,rgn
tas,tas
mmk,mmk
msy,msy
mct,mct
ccu,ccu
nyo,sto
lux,lux
wlg,wlg
gro,gro
nte,nte
dac,dac
pdx,pdx
sdq,sdq
sou,sou
rtm,rtm
khi,khi
szg,szg
yeg,yea
cnf,bhz
goj,goj
alg,alg
dca,was
mfm,mfm
pty,pty
gzt,gzt
ryg,osl
lju,lju
ala,ala
drw,drw
jer,jer
kgs,kgs
mde,mde
yks,yks
urt,urt
sdu,rio
acc,acc
tsa,tpe
nan,nan
lgk,lgk
ods,ods
zth,zth
slc,slc
hdy,hdy
gum,gum
cwb,cwb
poz,poz
bki,bki
cgh,sao
uus,uus
tng,tng
svg,svg
dtm,dtm
clt,clt
mbj,mbj
skp,skp
sub,sub
tgd,tgd
var,var
vog,vog
aus,aus
mcx,mcx
mvd,mvd
jog,jog
sez,sez
lwo,lwo
ctu,ctu
cuz,cuz
tof,tof
iev,iev
klo,klo
sha,sha
zqn,zqn
gua,gua
nux,nux
ctg,ctg
bts,bts
clo,clo
tps,tps
dar,dar
sjj,sjj
trv,trv
fln,fln
reu,reu
rdu,rdu
boh,boh
njc,njc
aga,aga
lop,ami
yow,yow
gdz,gdz
grx,grx
szf,ssx
uth,uth
igu,igu
lej,lej
gye,gye
diy,diy
vte,vte
add,add
aep,bue
atq,atq
inv,inv
sdr,sdr
hba,hba
ext,ext
rmq,rmq
ebl,ebl
prn,prn
bgi,bgi
pdl,pdl
oss,oss
tse,tse
ovd,ovd
pkc,pkc
itm,osa
bna,bna
znz,znz
buf,buf
rsw,fmy
hre,hre
nat,nat
arh,arh
lcg,lcg
hbe,aly
dur,dur
vcp,cpq
asf,asf
dkr,dkr
ebb,ebb
fez,fez
zad,zad
mga,mga
gyn,gyn
bax,bax
cei,cei
lpq,lpq
clj,clj
noc,noc
mao,mao
szx,szx
ndr,ndr
trs,trs
inn,inn
ywg,ywg
kya,kya
xry,xry
yhz,yhz
yic,yic
nbe,nbe
lpb,lpb
sal,sal
xmn,xmn
cle,cle
trd,trd
mty,mty
ogg,ogg
cxr,nha
aua,aua
pps,pps
xiy,sia
oak,oak
krt,krt
drs,drs
tos,tos
trf,osl
gzp,gzp
vgo,vgo
stl,stl
kin,kin
sfb,orl
stw,stw
fkb,fkb
tao,tao
mci,mkc
efl,efl
cbr,cbr
smf,sac
gib,gib
mba,mba
vix,vix
nas,nas
dyu,dyu
sxb,sxb
bqs,bqs
mph,mph
sat,sat
med,med
lei,lei
ind,ind
kno,mes
dsa,dsa
puy,puy
voz,voz
kmg,kmg
koj,koj
aal,aal
ogz,ogz
aoi,aoi
fmm,fmm
pvr,pvr
pit,pit
mcz,mcz
