AIRPORTNAME,AIRPORTCODE
Hartsfield Jackson Atlanta International,ATL
Hartsfield Jackson,ATL
Beijing Capital International,PEK
Beijing Capital,PEK
Dubai International,DXB
Chicago O’Hare International,ORD
O’Hare International,ORD
Chicago International,ORD
Tokyo International,HND
London Heathrow,LHR
Heathrow,LHR
Luton,LTN
Stansted,STN
Los Angeles International,LAX
Hong Kong International,HKG
Hong Kong International Kai Tak,HKG
Kai Tak,HKG
Charles de Gaulle International,CDG
Charles de Gaulle,CDG
Dallas Fort Worth International,DFW
Ataturk International,IST
Frankfurt am Main International,FRA
Shanghai Pudong International,PVG
Shanghai Pudong,PVG
Amsterdam Schiphol,AMS
Schiphol,AMS
John F Kennedy International,JFK
John F Kennedy,JFK
John Kennedy,JFK
Singapore Changi International,SIN
Changi International, SIN
Changi, SIN
Guangzhou Baiyun International,CAN
Soekarno-Hatta International,CGK
Soekarno-Hatta,CGK
Soekarno Hatta,CGK
Denver International,DEN
Suvarnabhumi,BKK
San Francisco International,SFO
Incheon International,ICN
Kuala Lumpur International,KUL
Madrid Barajas International,MAD
Barajas,MAD
Indira Gandhi International,DEL
Indira Gandhi,DEL
McCarran International,LAS
McCarran,LAS
Charlotte Douglas International,CLT
Charlotte Douglas,CLT
Miami International,MIA
Phoenix Sky Harbor International,PHX
George Bush Intercontinental,IAH
George Bush,IAH
Seattle Tacoma International,SEA
Tacoma International,SEA
Tacoma,SEA
Chengdu Shuangliu International,CTU
Chengdu Shuangliu,CTU
Lester B Pearson International,YYZ
Lester B Pearson,YYZ
Lester Pearson,YYZ
Munich International,MUC
Chhatrapati Shivaji International,BOM
Chhatrapati Shivaji,BOM
Leonardo Da Vinci,FCO
Fiumicino,FCO
London Gatwick,LGW
Gatwick,LGW
Sydney Kingsford Smith International,SYD
Kingsford Smith,SYD
Shenzhen Bao’an International,SZX
Barcelona International,BCN
Guarulhos – Governador Andre Franco Montoro International,GRU
Shanghai Hongqiao International,SHA
Orlando International,MCO
Taiwan Taoyuan International,TPE
Taoyuan International,TPE
Taoyuan,TPE
Benito Juarez International,MEX
Benito Juarez,MEX
Kunming Changshui International,KMG
Kunming Changshui,KMG
Newark Liberty International,EWR
Newark Liberty,EWR
Narita International,NRT
Narita,NRT
Ninoy Aquino International,MNL
Ninoy Aquino,MNL
St Paul International,MSP
Saint Paul International,MSP
Wold-Chamberlain,MSP
Wold Chamberlain,MSP
