Airport	Country	IATA	Passengers 2015
Hartsfield Jackson Atlanta International	United States	ATL	101,489,887
Beijing Capital International	China	PEK	89,938,628
Dubai International	United Arab Emirates	DXB	78,010,265
Chicago O’Hare International	United States	ORD	76,942,493
Tokyo International	Japan	HND	75,316,718
London Heathrow	United Kingdom	LHR	74,989,914
Los Angeles International	United States	LAX	74,704,122
Hong Kong International Kai Tak	Hong Kong	HKG	68,342,785
Charles de Gaulle International	France	CDG	65,771,288
Dallas Fort Worth International	United States	DFW	64,072,468

Atatürk International	Turkey	IST	61,836,781
Frankfurt am Main International	Germany	FRA	61,032,022
Shanghai Pudong International	China	PVG	60,053,387
Amsterdam Schiphol	Netherlands	AMS	58,284,848
John F Kennedy International	United States	JFK	56,845,250
Singapore Changi International	Singapore	SIN	55,449,000
Guangzhou Baiyun International	China	CAN	55,201,915
Soekarno-Hatta International

Indonesia	CGK	54,053,905
Denver International	United States	DEN	54,014,903
Suvarnabhumi (Bangkok)	Thailand	BKK	52,808,013

San Francisco International	United States	SFO	50,057,826
Incheon International	South Korea	ICN	49,412,750
Kuala Lumpur International	Malaysia	KUL	48,934,118
Madrid Barajas International	Spain	MAD	46,814,739
Indira Gandhi International (New Delhi)	India	DEL	45,981,773
McCarran International (Las Vegas)	United States	LAS	45,356,580
Charlotte Douglas International	United States	CLT	44,876,627
Miami International	United States	MIA	44,350,250
Phoenix Sky Harbor International	United States	PHX	44,025,393
George Bush Intercontinental Houston	United States	IAH	42,962,381

Airport	Country	IATA	Passengers 2014
Seattle Tacoma International	United States	SEA	42,340,461
Chengdu Shuangliu International	China	CTU	42,244,842
Lester B. Pearson International	Canada	YYZ	41,036,847
Munich International	Germany	MUC	40,981,522
Chhatrapati Shivaji International	India	BOM	40,637,377
Leonardo Da Vinci (Fiumicino) International	Italy	FCO	40,422,156
London Gatwick	United Kingdom	LGW	40,271,343
Sydney Kingsford Smith International	Australia	SYD	39,914,103
Shenzhen Bao’an International	China	SZX	39,721,619
Barcelona International	Spain	BCN	39,674,095

Guarulhos – Governador André Franco Montoro International	Brazil	GRU	39,213,865
Shanghai Hongqiao International	China	SHA	39,090,699
Orlando International	United States	MCO	38,727,749
Taiwan Taoyuan International Airport	Taiwan	TPE	38,473,333
Benito Juárez International Airport	Mexico	MEX	38,433,288
Kunming Changshui International Airport	China	KMG	37,523,345
Newark Liberty International	United States	EWR	37,494,704
Narita International	Japan	NRT	37,268,307
Ninoy Aquino International	Philippines	MNL	36,583,459
Minneapolis-St Paul International/Wold-Chamberlain	United States	MSP	36,556,281
