CITYCODE,COUNTRYCODE
lon,uk
man,uk
bcn,es
ams,nl
dub,ie
mad,es
mow,ru
rom,it
hkg,hk
led,ru
par,fr
sin,sg
ist,tr
nyc,us
sel,kr
syd,au
ath,gr
tpe,tw
agp,es
bhx,uk
pmi,es
mil,it
tyo,jp
lax,us
lis,pt
prg,cz
edi,uk
muc,de
fra,de
mel,au
dxb,ae
alc,es
osa,jp
dps,id
bkk,th
cph,dk
zrh,ch
kul,my
tlv,il
sip,ua
dus,de
bud,hu
ber,de
mnl,ph
ayt,tr
tci,es
hkt,th
orl,us
gla,uk
bru,be
waw,pl
per,au
vie,at
sto,se
aer,ru
del,in
gva,ch
yto,ca
vce,it
bne,au
fao,pt
akl,nz
sao,br
hel,fi
ibz,es
mia,us
sfo,us
lca,cy
skg,gr
las,us
jkt,id
ham,de
buh,ro
nqt,uk
sgn,vn
bom,in
bon,an
svx,ru
nap,it
opo,pt
brs,uk
blq,it
ncl,uk
izm,tr
chi,us
nce,fr
cta,it
ace,es
str,de
lba,uk
ovb,ru
lpl,uk
cun,mx
lpa,es
dlm,tr
osl,no
cgn,de
krr,ru
cmb,lk
bjs,cn
mex,mx
sha,cn
vlc,es
cai,eg
yvr,ca
mla,mt
bos,us
iev,ua
her,gr
cnx,th
rio,br
bog,co
han,vn
krk,pl
jnb,za
svq,es
hav,cu
mia,us
psa,it
bio,es
hnl,us
oka,jp
ank,tr
rak,ma
pmo,it
lim,pe
ein,nl
ymq,ca
rix,lv
waw,pl
bue,ar
bru,be
scl,cl
trn,it
fuk,jp
fue,es
pus,kr
sof,bg
vvo,ru
pfo,cy
jed,sa
rek,is
jtr,gr
cpt,za
eap,ch
mrs,fr
abz,uk
lys,fr
mrv,ru
vno,lt
atl,us
ruh,sa
rov,ru
bfs,uk
bri,it
flr,it
ufa,ru
maa,in
usm,th
got,se
ssh,eg
rho,gr
kbv,th
aaq,ru
spk,jp
gdn,pl
beg,rs
haj,de
was,us
bjv,tr
zag,hr
dfw,us
bey,lb
bfs,uk
adl,au
spu,hr
doh,qa
kgd,ru
cok,in
tbs,ge
blr,in
goi,in
cfu,gr
sea,us
auh,ae
mah,es
tll,ee
mle,mv
hyd,in
den,us
khh,tw
kuf,ru
chc,nz
ngo,jp
kzn,ru
cas,ma
sel,kr
dbv,hr
hou,us
can,cn
vce,it
isb,pk
evn,am
kwi,kw
kja,ru
yyc,ca
her,gr
ork,ie
tls,fr
ceb,ph
ktm,np
kiv,md
sjo,cr
cns,au
tiv,me
ada,tr
ool,au
wro,pl
boj,bg
cek,ru
cag,it
khv,ru
msq,by
ikt,ru
bod,fr
fnc,pt
vrn,it
amm,jo
thr,ir
ccs,ve
sju,pr
lhe,pk
tpa,us
fra,de
tci,es
bak,az
rep,kh
tun,tn
los,ng
tia,al
dus,de
ssa,br
san,us
scq,es
ecn,cy
oms,ru
nbo,ke
cju,kr
pnh,kh
cwl,uk
msp,us
phl,us
pee,ru
jmk,gr
nue,de
gla,uk
dmm,sa
mjv,es
suf,it
phx,us
dtt,us
snn,ie
pen,my
bsb,br
bgo,no
tjm,ru
dad,vn
hrg,eg
for,br
ktw,pl
asr,tr
bll,dk
was,us
puj,do
bah,bh
amd,in
rec,br
fru,kg
bre,de
mru,mu
gdl,mx
poa,br
bds,it
tzx,tr
aho,it
sgc,ru
goa,it
olb,it
uio,ec
rgn,mm
tas,uz
mmk,ru
msy,us
mct,om
ccu,in
sto,se
lux,lu
wlg,nz
gro,es
nte,fr
dac,bd
pdx,us
sdq,do
sou,uk
rtm,nl
khi,pk
szg,at
yea,ca
bhz,br
goj,ru
alg,dz
was,us
mfm,mo
pty,pa
gzt,tr
osl,no
lju,si
ala,kz
drw,au
jer,uk
kgs,gr
mde,co
yks,ru
urt,th
rio,br
acc,gh
tpe,tw
nan,fj
lgk,my
ods,ua
zth,gr
slc,us
hdy,th
gum,gu
cwb,br
poz,pl
bki,my
sao,br
uus,ru
tng,ma
svg,no
dtm,de
clt,us
mbj,jm
skp,mk
sub,id
tgd,me
var,bg
vog,ru
aus,us
mcx,ru
mvd,uy
jog,id
sez,sc
lwo,ua
ctu,cn
cuz,pe
tof,ru
iev,ua
klo,ph
sha,cn
zqn,nz
gua,gt
nux,ru
ctg,co
bts,sk
clo,co
tps,it
dar,tz
sjj,ba
trv,in
fln,br
reu,es
rdu,us
boh,uk
njc,ru
aga,ma
ami,id
yow,ca
gdz,ru
grx,es
ssx,tr
uth,th
igu,br
lej,de
gye,ec
diy,tr
vte,la
add,et
bue,ar
atq,in
inv,uk
sdr,es
hba,au
ext,uk
rmq,tw
ebl,iq
prn,ko
bgi,bb
pdl,pt
oss,kg
tse,kz
ovd,es
pkc,ru
osa,jp
bna,us
znz,tz
buf,us
fmy,us
hre,zw
nat,br
arh,ru
lcg,es
aly,eg
dur,za
cpq,br
asf,ru
dkr,sn
ebb,ug
fez,ma
zad,hr
mga,ni
gyn,br
bax,ru
cei,th
lpq,la
clj,ro
noc,ie
mao,br
szx,cn
ndr,ma
trs,it
inn,at
ywg,ca
kya,tr
xry,es
yhz,ca
yic,cn
nbe,tn
lpb,bo
sal,sv
xmn,cn
cle,us
trd,no
mty,mx
ogg,us
nha,vn
aua,aw
pps,ph
sia,cn
oak,us
krt,sd
drs,de
tos,no
osl,no
gzp,tr
vgo,es
stl,us
kin,jm
orl,us
stw,ru
fkb,de
tao,cn
mkc,us
efl,gr
cbr,au
sac,us
gib,gi
mba,ke
vix,br
nas,bs
dyu,tj
sxb,fr
bqs,ru
mph,ph
sat,us
med,sa
lei,es
ind,us
mes,id
dsa,uk
puy,hr
voz,ru
kmg,cn
koj,jp
aal,dk
ogz,ru
aoi,it
fmm,de
pvr,mx
pit,us
mcz,br
mjt,gr
hty,tr
mpl,fr
chi,us
ptp,gp
ren,ru
tij,mx
jax,us
scw,ru
vra,cu
rze,pl
rba,ma
kbl,af
biq,fr
hgh,cn
syx,cn
sjc,us
ccj,in
pnq,in
noz,ru
ncp,ph
fdf,mq
yqb,ca
kul,my
foc,cn
bel,br
run,re
kej,ru
pos,tt
erz,tr
hrb,cn
wuh,cn
dlc,cn
nqy,uk
kun,lt
jsi,gr
ias,ro
uud,ru
reg,it
bdo,id
pqc,vn
she,cn
iom,uk
cvg,us
hta,ru
isg,jp
ubp,th
pbi,us
lad,ao
shj,ae
dnk,ua
sid,cv
kch,my
nbc,ru
kkc,th
bia,fr
srz,bo
cmh,us
psr,it
bus,ge
van,tr
cgb,br
mem,us
ezs,tr
lbd,tj
ckg,cn
hij,jp
tsr,ro
sna,us
jai,in
dxb,ae
jpa,br
sjd,mx
rvn,fi
uln,mn
ego,ru
mma,se
hfd,us
dje,tn
asu,py
cor,ar
hrk,ua
nkg,cn
tsv,au
bps,br
plz,za
mel,au
sdj,jp
nav,tr
szz,pl
grz,at
fmo,de
jhb,my
bgw,iq
nsk,ru
slz,br
dvo,ph
gci,uk
anc,us
wdh,na
lmp,it
mlx,tr
dnz,tr
pap,ht
sap,hn
tnr,mg
hou,us
gnb,fr
baq,co
egc,fr
lir,cr
jro,tz
trz,in
bjl,gm
lst,au
abv,ng
spc,es
smr,co
kmj,jp
koa,us
nwi,uk
pvk,gr
gdx,ru
oud,ma
rtw,ru
kbr,my
adz,co
sto,se
chs,us
gcm,ky
pop,do
the,br
aes,no
cgr,br
hti,au
mqm,tr
lko,in
pbm,sr
bze,bz
lun,zm
lbj,id
pei,co
zaz,es
krs,no
aja,fr
isu,iq
vns,in
edo,tr
elq,sa
dla,cm
apw,ws
aju,br
asp,au
stt,vi
aba,ru
vas,tr
mmy,jp
ciy,it
abq,us
bcm,ro
myj,jp
eas,es
mke,us
csx,cn
dfw,us
smi,gr
ccf,fr
brq,cz
mdl,mm
orf,us
ppt,pf
oma,us
peg,it
anu,ag
ngs,jp
yyj,ca
ldy,uk
sfq,tr
nvt,br
ppp,au
tgu,hn
kut,ge
lcj,pl
oul,fi
sxr,in
yxe,ca
ric,us
upg,id
rai,cv
kir,ie
igr,ar
kwl,cn
fdh,de
mdz,ar
okc,us
rno,us
abj,ci
rns,fr
mhd,ir
sti,do
yto,ca
utp,th
lih,us
ixe,in
mpm,mz
srg,id
tmp,fi
ixc,in
mqf,ru
bme,au
pad,de
elp,us
noj,ru
nal,ru
cgo,cn
lrh,fr
lig,fr
yqr,ca
bwn,bn
slu,lc
spn,mp
njf,iq
kgl,rw
ylw,ca
fte,ar
ayq,au
ont,us
hak,cn
udi,br
nou,nc
hma,ru
uly,ru
roc,us
tus,us
lil,fr
tae,kr
kmi,jp
orn,dz
nst,th
rmi,it
cgq,cn
mst,nl
urc,cn
tln,fr
rar,ck
yyt,ca
tku,fi
pls,tc
sdf,us
klx,gr
mid,mx
ios,br
mcy,au
syr,us
axd,gr
skd,uz
nng,cn
bzg,pl
ijk,ru
tag,ph
pvd,us
bga,co
bes,fr
cjb,in
ldb,br
bjx,mx
tsn,cn
btk,ru
ume,se
bzr,fr
pgf,fr
ntl,au
rao,br
mme,uk
sav,us
luz,pl
grr,us
kvd,az
kgf,kz
grv,ru
oit,jp
lla,se
mky,au
krn,se
jkt,id
vtz,in
gps,ec
kva,gr
jkh,gr
ush,ar
dsm,us
pvh,br
sbz,ro
lnz,at
okj,jp
myr,us
huy,uk
pdg,id
bpn,id
kvx,ru
crv,it
wnz,cn
ixz,in
hog,cu
dud,nz
ksc,sk
ukb,jp
jdo,br
bhm,us
tul,us
ksy,tr
sly,ru
fat,us
boo,no
vln,ve
lgb,us
mln,es
ixb,in
bda,bm
