LHR,LON,LOND,UK,EU,51.471389,-0.452778,17262579,London
MAN,MAN,MANC,UK,EU,53.353333,-2.276667,13478258,Manchester
LGW,LON,LOND,UK,EU,51.148056,-0.196667,12767473,London
BCN,BCN,BARC,ES,EU,41.302778,2.094444,11070347,Barcelona
AMS,AMS,AMST,NL,EU,52.308333,4.768056,10901728,Amsterdam
BKK,BKK,BKKT,TH,AS,13.689689,100.742483,9805661,Bangkok
DUB,DUB,DUBL,IE,EU,53.432500,-6.252222,9059783,Dublin
MAD,MAD,MADR,ES,EU,40.472222,-3.563333,8868737,Madrid
DME,MOW,MOSC,RU,EU,55.400000,37.883300,8675527,Moscow
FCO,ROM,ROME,IT,EU,41.800278,12.238889,7711335,Rome
HKG,HKG,HKGA,HK,AS,22.316667,113.916667,7596872,Hong Kong
STN,LON,LOND,UK,EU,51.883333,0.233333,7335708,London
LED,LED,PETE,RU,EU,59.800000,30.300000,6709285,St Petersburg
CDG,PAR,PARI,FR,EU,49.009722,2.548611,6683863,Paris
SIN,SIN,SINS,SG,AS,1.350278,103.994444,6601567,Singapore
IST,IST,ISTA,TR,AS,40.976667,28.815278,6316294,Istanbul
JFK,NYC,NYCA,US,NA,40.638611,-73.776944,5958480,New York
ICN,SEL,SELA,KR,AS,37.469167,126.450556,5874949,Seoul
SYD,SYD,SYDA,AU,OC,-33.944167,151.175833,5511275,Sydney
ATH,ATH,ATHE,GR,EU,37.936358,23.944467,5224387,Athens
TPE,TPE,TPET,TW,AS,25.077778,121.232778,5140083,Taipei
AGP,AGP,MALA,ES,EU,36.671667,-4.498056,4687467,Malaga
BHX,BHX,BIRM,UK,EU,52.453056,-1.746389,4656717,Birmingham
SVO,MOW,MOSC,RU,EU,55.972778,37.414722,4489354,Moscow
PMI,PMI,PALM,ES,EU,39.553600,2.727800,4478881,Palma
MXP,MIL,MILA,IT,EU,45.633333,8.716667,4417850,Milan
NRT,TYO,TYOA,JP,AS,35.763889,140.391111,4380046,Tokyo
LAX,LAX,LAXA,US,NA,33.942222,-118.407222,4236799,Los Angeles
LIS,LIS,LISB,PT,EU,38.781944,-9.133333,4233532,Lisbon
PRG,PRG,PRAG,CZ,EU,50.100000,14.266667,4141413,Prague
EDI,EDI,EDIN,UK,EU,55.949700,-3.363500,4044557,Edinburgh
MUC,MUC,MUNI,DE,EU,48.350000,11.783333,3995282,Munich
FRA,FRA,FRAN,DE,EU,50.038889,8.570556,3944675,Frankfurt
MEL,MEL,MELA,AU,OC,-37.673330,144.843330,3813985,Melbourne
DXB,DXB,DXBA,AE,AS,25.250000,55.357778,3800987,Dubai
VKO,MOW,MOSC,RU,EU,55.583333,37.266667,3642977,Moscow
ALC,ALC,ALIC,ES,EU,38.283333,-0.566667,3547929,Alicante
KIX,OSA,OSAA,JP,AS,34.423889,135.246944,3448662,Osaka
DPS,DPS,DPSI,ID,AS,-8.748611,115.165000,3416863,Bali (Denpasar)
DMK,BKK,BKKT,TH,AS,13.910000,100.610001,3356666,Bangkok
CPH,CPH,COPE,DK,EU,55.608056,12.633333,3300770,Copenhagen
ZRH,ZRH,ZURI,CH,EU,47.458333,8.551667,3196696,Zurich
KUL,KUL,KULM,MY,AS,2.743333,101.693333,3182433,Kuala Lumpur
SAW,IST,ISTA,TR,AS,40.899444,29.309167,3175974,Istanbul
LTN,LON,LOND,UK,EU,51.883333,-0.351667,3170027,London
TLV,TLV,TELA,IL,AS,32.012222,34.882500,3070982,Tel Aviv
SIP,SIP,SIMF,UA,EU,45.052222,33.975139,3056201,Simferopol
