a           NO
flight      NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION

en:place    DESTINATION
en:date     NO

get         NO
me          NO
flights     NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION
return      NO
,           NO
from        NO
en:date     NO
return      NO
en:date     NO

i           NO
want        NO
to          NO
travel      NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION

en:place    ORIGIN
to          NO
en:place    DESTINATION

can         NO
i           NO
fly         NO
direct      NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION
?           NO

flight      NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION

the         NO
flight      NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION
en:date     NO
,           NO
1st         NO
through     NO
the         NO
eighth      NO
.           NO

en:place    DESTINATION
from        NO
en:place    ORIGIN
chepest     NO
flights     NO
for         NO
en:date     NO

en:place    NO

en:date     NO

direct      NO
flights     NO
to          NO
en:place    DESTINATION

from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION
en:date     NO

fly         NO
to          NO
en:place    DESTINATION
en:date     NO

travel      NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION
with        NO
4           NO
people      NO

en:date     NO
en:place    DESTINATION

en:date     NO
en:date     NO

i           NO
would       NO
like        NO
to          NO
fly         NO
to          NO
en:place    DESTINATION
.           NO

en:date     NO
-           NO
en:date     NO

en:place    DESTINATION
from        NO
en:place    ORIGIN

en:place    ORIGIN
to          NO
en:place    DESTINATION
en:date     NO

find        NO
if          NO
flight      NO
for         NO
after       NO
en:date     NO
to          NO
en:place    DESTINATION

en:place    ORIGIN
to          NO
en:place    DESTINATION
on          NO
en:date     NO
to          NO
en:date     NO

return      NO
ticket      NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION
in          NO
en:date     NO

find        NO
me          NO
flights     NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION

fark        NO

car         NO
rental      NO
en:place    DESTINATION
en:date     NO
to          NO
en:date     NO

i           NO
like        NO
to          NO
visit       NO
en:place    DESTINATION

en:place    DESTINATION
from        NO
en:place    ORIGIN

flights     NO
to          NO
en:place    DESTINATION
from        NO
en:place    ORIGIN

what        NO
are         NO
you         NO
do          NO
now         NO

from        NO
en:date     NO
to          NO
en:date     NO

en:place    ORIGIN
-           NO
en:place    DESTINATION

not         NO
now         NO

where       NO
can         NO
I           NO
go          NO
en:date     NO
for         NO
under       NO
50          NO
euro        NO
?           NO

One         NO
way         NO
from        NO
en:place    ORIGIN
to          NO
en:place    DESTINATION

en:place    ORIGIN
to          NO
en:place    DESTINATION
en:date     NO
to          NO
en:date     NO
